l_area_instrument:link	link:id
l_area_instrument:entity0	area:id
l_area_instrument:entity1	instrument:id
l_area_label:link	link:id
l_area_label:entity0	area:id
l_area_label:entity1	label:id
l_area_place:link	link:id
l_area_place:entity0	area:id
l_area_place:entity1	place:id
l_area_recording:link	link:id
l_area_recording:entity0	area:id
l_area_recording:entity1	recording:id
l_area_release:link	link:id
l_area_release:entity0	area:id
l_area_release:entity1	release:id
l_area_release_group:link	link:id
l_area_release_group:entity0	area:id
l_area_release_group:entity1	release_group:id
l_area_series:link	link:id
l_area_series:entity0	area:id
l_area_series:entity1	series:id
l_area_url:link	link:id
l_area_url:entity0	area:id
l_area_url:entity1	url:id
l_area_work:link	link:id
l_area_work:entity0	area:id
l_area_work:entity1	work:id
l_artist_artist:link	link:id
l_artist_artist:entity0	artist:id
l_artist_artist:entity1	artist:id
l_artist_event:link	link:id
l_artist_event:entity0	artist:id
l_artist_event:entity1	event:id
l_artist_instrument:link	link:id
l_artist_instrument:entity0	artist:id
l_artist_instrument:entity1	instrument:id
l_artist_label:link	link:id
l_artist_label:entity0	artist:id
l_artist_label:entity1	label:id
l_artist_place:link	link:id
l_artist_place:entity0	artist:id
l_artist_place:entity1	place:id
l_artist_recording:link	link:id
l_artist_recording:entity0	artist:id
l_artist_recording:entity1	recording:id
l_artist_release:link	link:id
l_artist_release:entity0	artist:id
l_artist_release:entity1	release:id
l_artist_release_group:link	link:id
l_artist_release_group:entity0	artist:id
l_artist_release_group:entity1	release_group:id
l_artist_series:link	link:id
l_artist_series:entity0	artist:id
l_artist_series:entity1	series:id
l_artist_url:link	link:id
l_artist_url:entity0	artist:id
l_artist_url:entity1	url:id
l_artist_work:link	link:id
l_artist_work:entity0	artist:id
l_artist_work:entity1	work:id
l_event_event:link	link:id
l_event_event:entity0	event:id
l_event_event:entity1	event:id
l_event_instrument:link	link:id
l_event_instrument:entity0	event:id
l_event_instrument:entity1	instrument:id
l_event_label:link	link:id
l_event_label:entity0	event:id
l_event_label:entity1	label:id
l_event_place:link	link:id
l_event_place:entity0	event:id
l_event_place:entity1	place:id
l_event_recording:link	link:id
l_event_recording:entity0	event:id
l_event_recording:entity1	recording:id
l_event_release:link	link:id
l_event_release:entity0	event:id
l_event_release:entity1	release:id
l_event_release_group:link	link:id
l_event_release_group:entity0	event:id
l_event_release_group:entity1	release_group:id
l_event_series:link	link:id
l_event_series:entity0	event:id
l_event_series:entity1	series:id
l_event_url:link	link:id
l_event_url:entity0	event:id
l_event_url:entity1	url:id
l_event_work:link	link:id
l_event_work:entity0	event:id
l_event_work:entity1	work:id
l_instrument_instrument:link	link:id
l_instrument_instrument:entity0	instrument:id
l_instrument_instrument:entity1	instrument:id
l_instrument_label:link	link:id
l_instrument_label:entity0	instrument:id
l_instrument_label:entity1	label:id
l_instrument_place:link	link:id
l_instrument_place:entity0	instrument:id
l_instrument_place:entity1	place:id
l_instrument_recording:link	link:id
l_instrument_recording:entity0	instrument:id
l_instrument_recording:entity1	recording:id
l_instrument_release:link	link:id
l_instrument_release:entity0	instrument:id
l_instrument_release:entity1	release:id
l_instrument_release_group:link	link:id
l_instrument_release_group:entity0	instrument:id
l_instrument_release_group:entity1	release_group:id
l_instrument_series:link	link:id
l_instrument_series:entity0	instrument:id
l_instrument_series:entity1	series:id
l_instrument_url:link	link:id
l_instrument_url:entity0	instrument:id
l_instrument_url:entity1	url:id
l_instrument_work:link	link:id
l_instrument_work:entity0	instrument:id
l_instrument_work:entity1	work:id
l_label_label:link	link:id
l_label_label:entity0	label:id
l_label_label:entity1	label:id
l_label_place:link	link:id
l_label_place:entity0	label:id
l_label_place:entity1	place:id
l_label_recording:link	link:id
l_label_recording:entity0	label:id
l_label_recording:entity1	recording:id
l_label_release:link	link:id
l_label_release:entity0	label:id
l_label_release:entity1	release:id
l_label_release_group:link	link:id
l_label_release_group:entity0	label:id
l_label_release_group:entity1	release_group:id
l_label_series:link	link:id
l_label_series:entity0	label:id
l_label_series:entity1	series:id
l_label_url:link	link:id
l_label_url:entity0	label:id
l_label_url:entity1	url:id
l_label_work:link	link:id
l_label_work:entity0	label:id
l_label_work:entity1	work:id
l_place_place:link	link:id
l_place_place:entity0	place:id
l_place_place:entity1	place:id
l_place_recording:link	link:id
l_place_recording:entity0	place:id
l_place_recording:entity1	recording:id
l_place_release:link	link:id
l_place_release:entity0	place:id
l_place_release:entity1	release:id
l_place_release_group:link	link:id
l_place_release_group:entity0	place:id
l_place_release_group:entity1	release_group:id
l_place_series:link	link:id
l_place_series:entity0	place:id
l_place_series:entity1	series:id
l_place_url:link	link:id
l_place_url:entity0	place:id
l_place_url:entity1	url:id
l_place_work:link	link:id
l_place_work:entity0	place:id
l_place_work:entity1	work:id
l_recording_recording:link	link:id
l_recording_recording:entity0	recording:id
l_recording_recording:entity1	recording:id
l_recording_release:link	link:id
l_recording_release:entity0	recording:id
l_recording_release:entity1	release:id
l_recording_release_group:link	link:id
l_recording_release_group:entity0	recording:id
l_recording_release_group:entity1	release_group:id
l_recording_series:link	link:id
l_recording_series:entity0	recording:id
l_recording_series:entity1	series:id
l_recording_url:link	link:id
l_recording_url:entity0	recording:id
l_recording_url:entity1	url:id
l_recording_work:link	link:id
l_recording_work:entity0	recording:id
l_recording_work:entity1	work:id
l_release_group_release_group:link	link:id
l_release_group_release_group:entity0	release_group:id
l_release_group_release_group:entity1	release_group:id
l_release_group_series:link	link:id
l_release_group_series:entity0	release_group:id
l_release_group_series:entity1	series:id
l_release_group_url:link	link:id
l_release_group_url:entity0	release_group:id
l_release_group_url:entity1	url:id
l_release_group_work:link	link:id
l_release_group_work:entity0	release_group:id
l_release_group_work:entity1	work:id
l_release_release:link	link:id
l_release_release:entity0	release:id
l_release_release:entity1	release:id
l_release_release_group:link	link:id
l_release_release_group:entity0	release:id
l_release_release_group:entity1	release_group:id
l_release_series:link	link:id
l_release_series:entity0	release:id
l_release_series:entity1	series:id
l_release_url:link	link:id
l_release_url:entity0	release:id
l_release_url:entity1	url:id
l_release_work:link	link:id
l_release_work:entity0	release:id
l_release_work:entity1	work:id
l_series_series:link	link:id
l_series_series:entity0	series:id
l_series_series:entity1	series:id
l_series_url:link	link:id
l_series_url:entity0	series:id
l_series_url:entity1	url:id
l_series_work:link	link:id
l_series_work:entity0	series:id
l_series_work:entity1	work:id
l_url_url:link	link:id
l_url_url:entity0	url:id
l_url_url:entity1	url:id
l_url_work:link	link:id
l_url_work:entity0	url:id
l_url_work:entity1	work:id
l_work_work:link	link:id
l_work_work:entity0	work:id
l_work_work:entity1	work:id
label:type	label_type:id
label:area	area:id
label_alias:label	label:id
label_alias:type	label_alias_type:id
label_alias_type:parent	label_alias_type:id
label_annotation:label	label:id
label_annotation:annotation	annotation:id
label_gid_redirect:new_id	label:id
label_ipi:label	label:id
label_isni:label	label:id
label_meta:id	label:id
label_rating_raw:label	label:id
label_rating_raw:editor	editor:id
label_tag:label	label:id
label_tag:tag	tag:id
label_tag_raw:label	label:id
label_tag_raw:editor	editor:id
label_tag_raw:tag	tag:id
label_type:parent	label_type:id
link:link_type	link_type:id
link_attribute:link	link:id
link_attribute:attribute_type	link_attribute_type:id
link_attribute_credit:link	link:id
link_attribute_credit:attribute_type	link_creditable_attribute_type:attribute_type
link_attribute_text_value:link	link:id
link_attribute_text_value:attribute_type	link_text_attribute_type:attribute_type
link_attribute_type:parent	link_attribute_type:id
link_attribute_type:root	link_attribute_type:id
link_creditable_attribute_type:attribute_type	link_attribute_type:id
link_text_attribute_type:attribute_type	link_attribute_type:id
link_type:parent	link_type:id
link_type_attribute_type:link_type	link_type:id
link_type_attribute_type:attribute_type	link_attribute_type:id
medium:release	release:id
medium:format	medium_format:id
medium_cdtoc:medium	medium:id
medium_cdtoc:cdtoc	cdtoc:id
medium_format:parent	medium_format:id
medium_index:medium	medium:id
orderable_link_type:link_type	link_type:id
place:type	place_type:id
place:area	area:id
place_alias:place	place:id
place_alias:type	place_alias_type:id
place_alias_type:parent	place_alias_type:id
place_annotation:place	place:id
place_annotation:annotation	annotation:id
place_gid_redirect:new_id	place:id
place_tag:place	place:id
place_tag:tag	tag:id
place_tag_raw:place	place:id
place_tag_raw:editor	editor:id
place_tag_raw:tag	tag:id
place_type:parent	place_type:id
recording:artist_credit	artist_credit:id
recording_alias:recording	recording:id
recording_alias:type	recording_alias_type:id
recording_alias_type:parent	recording_alias_type:id
recording_annotation:recording	recording:id
recording_annotation:annotation	annotation:id
recording_gid_redirect:new_id	recording:id
recording_meta:id	recording:id
recording_rating_raw:recording	recording:id
recording_rating_raw:editor	editor:id
recording_tag:recording	recording:id
recording_tag:tag	tag:id
